date,year,month_number,month_name,quarter,day_number,day_name,week_number
2021-01-01,2021,1,January,1,1,Friday,53
2021-01-02,2021,1,January,1,2,Saturday,53
2021-01-03,2021,1,January,1,3,Sunday,53
2021-01-04,2021,1,January,1,4,Monday,1
2021-01-05,2021,1,January,1,5,Tuesday,1
2021-01-06,2021,1,January,1,6,Wednesday,1
2021-01-07,2021,1,January,1,7,Thursday,1
2021-01-08,2021,1,January,1,8,Friday,1
2021-01-09,2021,1,January,1,9,Saturday,1
2021-01-10,2021,1,January,1,10,Sunday,1
2021-01-11,2021,1,January,1,11,Monday,2
2021-01-12,2021,1,January,1,12,Tuesday,2
2021-01-13,2021,1,January,1,13,Wednesday,2
2021-01-14,2021,1,January,1,14,Thursday,2
2021-01-15,2021,1,January,1,15,Friday,2
2021-01-16,2021,1,January,1,16,Saturday,2
2021-01-17,2021,1,January,1,17,Sunday,2
2021-01-18,2021,1,January,1,18,Monday,3
2021-01-19,2021,1,January,1,19,Tuesday,3
2021-01-20,2021,1,January,1,20,Wednesday,3
2021-01-21,2021,1,January,1,21,Thursday,3
2021-01-22,2021,1,January,1,22,Friday,3
2021-01-23,2021,1,January,1,23,Saturday,3
2021-01-24,2021,1,January,1,24,Sunday,3
2021-01-25,2021,1,January,1,25,Monday,4
2021-01-26,2021,1,January,1,26,Tuesday,4
2021-01-27,2021,1,January,1,27,Wednesday,4
2021-01-28,2021,1,January,1,28,Thursday,4
2021-01-29,2021,1,January,1,29,Friday,4
2021-01-30,2021,1,January,1,30,Saturday,4
2021-01-31,2021,1,January,1,31,Sunday,4
2021-02-01,2021,2,February,1,1,Monday,5
2021-02-02,2021,2,February,1,2,Tuesday,5
2021-02-03,2021,2,February,1,3,Wednesday,5
2021-02-04,2021,2,February,1,4,Thursday,5
2021-02-05,2021,2,February,1,5,Friday,5
2021-02-06,2021,2,February,1,6,Saturday,5
2021-02-07,2021,2,February,1,7,Sunday,5
2021-02-08,2021,2,February,1,8,Monday,6
2021-02-09,2021,2,February,1,9,Tuesday,6
2021-02-10,2021,2,February,1,10,Wednesday,6
2021-02-11,2021,2,February,1,11,Thursday,6
2021-02-12,2021,2,February,1,12,Friday,6
2021-02-13,2021,2,February,1,13,Saturday,6
2021-02-14,2021,2,February,1,14,Sunday,6
2021-02-15,2021,2,February,1,15,Monday,7
2021-02-16,2021,2,February,1,16,Tuesday,7
2021-02-17,2021,2,February,1,17,Wednesday,7
2021-02-18,2021,2,February,1,18,Thursday,7
2021-02-19,2021,2,February,1,19,Friday,7
2021-02-20,2021,2,February,1,20,Saturday,7
2021-02-21,2021,2,February,1,21,Sunday,7
2021-02-22,2021,2,February,1,22,Monday,8
2021-02-23,2021,2,February,1,23,Tuesday,8
2021-02-24,2021,2,February,1,24,Wednesday,8
2021-02-25,2021,2,February,1,25,Thursday,8
2021-02-26,2021,2,February,1,26,Friday,8
2021-02-27,2021,2,February,1,27,Saturday,8
2021-02-28,2021,2,February,1,28,Sunday,8
2021-03-01,2021,3,March,1,1,Monday,9
2021-03-02,2021,3,March,1,2,Tuesday,9
2021-03-03,2021,3,March,1,3,Wednesday,9
2021-03-04,2021,3,March,1,4,Thursday,9
2021-03-05,2021,3,March,1,5,Friday,9
2021-03-06,2021,3,March,1,6,Saturday,9
2021-03-07,2021,3,March,1,7,Sunday,9
2021-03-08,2021,3,March,1,8,Monday,10
2021-03-09,2021,3,March,1,9,Tuesday,10
2021-03-10,2021,3,March,1,10,Wednesday,10
2021-03-11,2021,3,March,1,11,Thursday,10
2021-03-12,2021,3,March,1,12,Friday,10
2021-03-13,2021,3,March,1,13,Saturday,10
2021-03-14,2021,3,March,1,14,Sunday,10
2021-03-15,2021,3,March,1,15,Monday,11
2021-03-16,2021,3,March,1,16,Tuesday,11
2021-03-17,2021,3,March,1,17,Wednesday,11
2021-03-18,2021,3,March,1,18,Thursday,11
2021-03-19,2021,3,March,1,19,Friday,11
2021-03-20,2021,3,March,1,20,Saturday,11
2021-03-21,2021,3,March,1,21,Sunday,11
2021-03-22,2021,3,March,1,22,Monday,12
2021-03-23,2021,3,March,1,23,Tuesday,12
2021-03-24,2021,3,March,1,24,Wednesday,12
2021-03-25,2021,3,March,1,25,Thursday,12
2021-03-26,2021,3,March,1,26,Friday,12
2021-03-27,2021,3,March,1,27,Saturday,12
2021-03-28,2021,3,March,1,28,Sunday,12
2021-03-29,2021,3,March,1,29,Monday,13
2021-03-30,2021,3,March,1,30,Tuesday,13
2021-03-31,2021,3,March,1,31,Wednesday,13
2021-04-01,2021,4,April,2,1,Thursday,13
2021-04-02,2021,4,April,2,2,Friday,13
2021-04-03,2021,4,April,2,3,Saturday,13
2021-04-04,2021,4,April,2,4,Sunday,13
2021-04-05,2021,4,April,2,5,Monday,14
2021-04-06,2021,4,April,2,6,Tuesday,14
2021-04-07,2021,4,April,2,7,Wednesday,14
2021-04-08,2021,4,April,2,8,Thursday,14
2021-04-09,2021,4,April,2,9,Friday,14
2021-04-10,2021,4,April,2,10,Saturday,14
2021-04-11,2021,4,April,2,11,Sunday,14
2021-04-12,2021,4,April,2,12,Monday,15
2021-04-13,2021,4,April,2,13,Tuesday,15
2021-04-14,2021,4,April,2,14,Wednesday,15
2021-04-15,2021,4,April,2,15,Thursday,15
2021-04-16,2021,4,April,2,16,Friday,15
2021-04-17,2021,4,April,2,17,Saturday,15
2021-04-18,2021,4,April,2,18,Sunday,15
2021-04-19,2021,4,April,2,19,Monday,16
2021-04-20,2021,4,April,2,20,Tuesday,16
2021-04-21,2021,4,April,2,21,Wednesday,16
2021-04-22,2021,4,April,2,22,Thursday,16
2021-04-23,2021,4,April,2,23,Friday,16
2021-04-24,2021,4,April,2,24,Saturday,16
2021-04-25,2021,4,April,2,25,Sunday,16
2021-04-26,2021,4,April,2,26,Monday,17
2021-04-27,2021,4,April,2,27,Tuesday,17
2021-04-28,2021,4,April,2,28,Wednesday,17
2021-04-29,2021,4,April,2,29,Thursday,17
2021-04-30,2021,4,April,2,30,Friday,17
2021-05-01,2021,5,May,2,1,Saturday,17
2021-05-02,2021,5,May,2,2,Sunday,17
2021-05-03,2021,5,May,2,3,Monday,18
2021-05-04,2021,5,May,2,4,Tuesday,18
2021-05-05,2021,5,May,2,5,Wednesday,18
2021-05-06,2021,5,May,2,6,Thursday,18
2021-05-07,2021,5,May,2,7,Friday,18
2021-05-08,2021,5,May,2,8,Saturday,18
2021-05-09,2021,5,May,2,9,Sunday,18
2021-05-10,2021,5,May,2,10,Monday,19
2021-05-11,2021,5,May,2,11,Tuesday,19
2021-05-12,2021,5,May,2,12,Wednesday,19
